Name,Review,Module Code,Semester,Title,Grade,BBA / BZA,Module Credit,Description
CP3880,See my review under journals for SAP ATAP!,ATAP,Y3S1,Advanced Technology Attachment Programme,CS,BZA,4,"This course enables students to apply the computing knowledge they have assimilated in class to industrial projects through six-month attachment to companies/organizations. Students under attachment will be jointly guided by supervisors from both the companies/organizations and the school. Their progress on projects will be monitored during attachment, and their performance will be assessed (on Satisfactory/Unsatisfactory (S/U) basis) at the end of the attachment, based on the interim and final project reports. During the attachment, students are not expected to take other courses offered by the university."
UTS2706,,UTS,Y2S2,A Social Critique of Markets in Singapore,S,Both,4,"This course is a social critique of markets and market behaviour in Singapore. Markets are often explained with methodological individualism as opposed to broader social systems that underscore behavioural and motivational determinants. This course presents an inter-disciplinary reading of selected economic concepts and critiques them from a social and holistic angle. It is principally a sociohistorical reading of how markets perform. In its application side, the course will reinterpret the success of Singapore using conceptual tools such as objective value theory, social productivity, the leisure class, and the historically determined social wage."
ST2334,"The only Statistics module I had to take that taught H2 Statistics + Poisson, Geometric Distributions, and Exponential Distribution. Not much additional content on top of H2 Mathematics so Bell Curve for Mid-terms was steep, but I think Finals Bell Curve should be fine since I ended up getting an A+.",ST,Y2S2,Probability and Statistics,A+,Both,4,"This course introduces students to basic probability theory and statistical inference. Topics include basic concepts of probability, conditional probability, independence, random variables, joint and marginal distributions, mean and variance, some common probability distributions, sampling distributions, estimation and hypothesis testing based on a normal population."
IS3103,"Communications and Leadership module that rewards students for speaking up and basically acting. At points, definitely felt like they were teaching students to be corporate muppets who felt nothing for employees and say what they needed to hear to calm down. “Yessss, don’t worry guys! AI isn’t going to take your jobs! You just have to upskill yourselves. I HEAR YOUR CONCERNS! But it’s all going to be okay!”.",IS,Y2S2,Information Systems Leadership and Communication,A-,BZA,4,"To drive innovation and transformation, technology leaders must identify key business drivers and align technologies with business objectives. This course provides foundational knowledge in information systems (IS) leadership and management essential for successful digital transformation. It aims to equip students with the skills to identify digital innovation opportunities, digitise business processes, and design effective human-AI solutions. Through experiential learning, students will develop the ability to manage digital disruptions and facilitate technology-enabled organisational change. Additionally, students will acquire change leadership communication skills to ensure effective collaboration between business and technology stakeholders."
FIN3702A,Frankly forgot what was taught here other than Discounted Cash Flow as with every other FIN module.,FIN,Y2S2,Investment Analysis and Portfolio Management,A+,BBA,4,"This is an introductory course in investments. It provides a comprehensive coverage of basic concepts, theories, applications and decision-making rules in financial investment. Topics to be covered include fundamental security analysis on stocks, bonds, options and futures as well as modern portfolio management. On completion, candidates should be conversant in investment management in preparation for careers in financial analysis and financial planning, investment banking, and corporate finance. Candidates should also be equipped to write the Chartered Financial Analysts (CFA) Level 1 examinations in quantitative analysis, equity securities analysis and portfolio management."
DAO2703,"Very dry module on calculating throughput and additional stuff. Feels like throwing a bunch of jargon at the wall and asking students to memorise. Probably is the case in the industry so can’t complain. Anyway, I got a B+ if you’re wondering. Ya, I’m glad I don’t plan to enter this industry.",DAO,Y2S2,Operations and Technology Management,S,BBA,4,"Operations and Technology Management (OTM) is a classic functional area of management that deals with the problems of production in all kinds of enterprises. It focuses on the productive system of the enterprise, which we define as the means by which resource inputs are transformed into useful outputs of goods and services. While Operations and Technology Management is a traditional functional field, and while this course will follow an outline built around the traditional foundational topics of OTM, we will nevertheless attempt to highlight some of the more current issues that are relevant within these topics. In view of this, the course will consider issues pertaining to both manufacturing and services-oriented systems, highlight the strategic aspects of operations, evaluate the significance and implications of advanced process technologies like robotics, AI and flexible manufacturing systems. The course will also explore the strategic significance of practices such as Lean Operations, Total Quality Management, and Sustainable Operations. The primary objectives of the course are to provide students with an introduction to, and an understanding of, the substantive knowledge which has developed over the years in the field of Operations and Technology Management, and to highlight the current relevance and strategic significance of the operations function in any given enterprise."
BT3103,"Infuriating module with Youtube-esque Professor who doesn’t outline clear requirements. Professor touted SCRUM and asked us to live and breather SCRUM and submit the results at the end, saying that is the most important thing. Well, nobody actually knows what goes through that black box of a head because my juniors who I have great faith in showed me their report and I would have given an A+, and they also got a B+. Anyway, most students don’t learn anything here because they already did Orbital during their summers in Year 1 - whereby you learn frontend, backend, maybe a little about your rear end if you did “Artemis” level, and everything this module even remotely touches, so this module really is just an obstacle to be cleared.",BT,Y2S2,Application Systems Development for Business Analytics,B+,BZA,4,"The course covers the concepts of software development life cycle and project management. It will also include hands-on learning sessions that cover the fundamentals of web development. The module focuses heavily on the development and deployment of web applications. It will be a project-based learning, and the course will cover the following topics: Stages of Software development life cycle Front-end development with HTML+CSS+Javascript Introduction to javascript frameworks like Vue js. Firebase Firestore and deployment with Firebase Version control Project Management methodologies, including SCRUM Introduction to DevOps"
BT3102,"During our iteration, Professor focused heavily on Bayesian Networks and how they worked - conditional probabilities and backward deduction?, and additional things like Hidden Markov Models, their assumptions, Viterbi Algorithm, MLE, and finally sampling methods. Honestly, quite an interesting module on HMMs and conditional probability!",BT,Y2S2,Computational Methods for Business Analytics,A,BZA,4,"Computers are becoming readily accessible, and its use in business analytics is growing more prevalent. This course will introduce students to computational methods, algorithms and techniques used in business fields such as finance, marketing and economics to address complex analytics problems. The course will cover topics and algorithms in areas such as optimization methods, numerical analysis, simulations, monte-carlo methods, graph and flow methods, and computational complexity issues to address business analytics related problems. Students will get the opportunity to learn about these computational methods and issues through hands-on practice assignments, case analysis discussions, and/or course projects."
Personal Website v1,,,Y2S1,,,,,
RC4 FA,,,Y2S1,,,,0,
UTC2729,"Took this module with BT2101 which also taught econometrics, be it through a more quantitative lens. This module provided greater insight and depth into the subject matter at hand in terms of why and how certain models in econometrics are derived and how they should be treated.",UTC,Y2S1,Causality and Natural Experiments,S,Both,4,Introduction to the fundamentals of econometrics and establishing causality
IS2218,"Taking this module in Year 2 with the knowledge of accounting already at the back of my mind, I was able to breeze through this module for the most part, learning extra details about business platforms on the way.",IS,Y2S1,Digital Platforms for Business,A,BZA,4,"A module taken to fulfil the requirement of an interdisciplinary module. This module overlaps significantly with my modules from my Business degree, teaching broadly the concepts across the spectrum of Business."
BSP2701,An introduction to macroeconomics with a little extra content added on top of what we already knew at the H2 Economics level taught in JC.,BSP,Y2S1,Global Economy,A,BBA,2,"An introduction to macroeconomics and international economics, with a simple dive into analytical frameworks for real-world events."
FIN2704,An introduction to time value of money and its variety of applications in a plethora of subjects to determine the worthiness of taking up a project.,FIN,Y2S1,Finance,A+,BBA,4,"A broad overview of the financial environment under which a firm operates (Topics covered: introduction to finance, financial statement analysis, long-term financial planning, time value of money, risk and return analysis, capital budgeting methods and applications, common stock valuation, bond valuation, short term management and financing)"
BT2102,"First module I got a B+ because I read the deadline of a 25% assignment wrong and missed it by about 4 weeks. Sorry Professor! Also, this is an anomaly, this doesn’t really happen in my life.",BT,Y2S1,Data Management and Visualisation,B+,BZA,4,"Provides practical knowledge and understanding of basic issues and techniques in data management and warehousing with relational database management systems, as well as data visualisation principles, techniques and tools"
BT2101,"Econometrics including causal inference, linear regression, fixed effects, instrument variables. Changed my perspectives on experiments (probably in a way that HSI1000 wanted to but couldn’t) since it really makes you question the design of many papers published from day-to-day and how much scrutiny is required other than a peer review which most times, ignores and skips the key issues in many scientific studies the more I read.",BT,Y2S1,Econometrics Modelling for Business Analytics,A+,BZA,4,"Provides foundations to econometrics and the use of software tools to perform econometrics data analysis (analysis models, including regression, time series regression, dynamic causal effects among others)"
CS2040,"Interesting module on Data Structures and Algorithms - what more can I say? Stacks and Queues first, then Linked List, Min and Max Heaps (for Priority Queues), Binary Tree, DFS, BFS, Djikstra’s, Kosaraju, Prim’s. Week long assignments were interesting enough to test you to think about interesting variants of data structures that could be imagined to perform certain operations more efficiently.",CS,Y2S1,Data Structures and Algorithms,A+,BZA,4,"Introduction to design and implementation of fundamental data structures and algorithms [basic data structures (linked lists, stacks, queues, hash tables, binary heaps, trees, and graphs), searching and sorting algorithms, and basic analysis of algorithms]"
CP2106 (Orbital),Look at my review at Orbital.md under journals.,CP,Y1S2,Independent Software Development Project (Orbital),CS,BZA,4,Provides a platform for students to gain hands-on industrial experience for computing technologies related to students’ own interests
Code Signal,,,Y1S2,,,,,
AutoTrader,,,Y1S2,,,,,
UTC1702G,,UTC,Y1S2,Thinking in systems: Markets and Inequality,CS,Both,4,Introduction to Systems Thinking and provides an analytical framework to analyse real world events in markets through the use of software such as Vensim
MKT1705B,,MKT,Y1S2,Principles of Marketing,S,BBA,4,"Provides a conceptual framework to analyse and interpret marketing phenomena and to suggest courses of action in response to marketing problems (Topics: the marketing concept, the marketing environment and the marketing mix which includes product, pricing, distribution and promotion)"
HSI1000,"“Yes, this ball floats on water because the water it displaces seems to exert an upward force on it, in other words upthrust”. Thanks, I learnt the scientific method in primary school and didn’t need a refresher.",HSI,Y1S2,"How Science Works, Why Science Works",A,BZA,4,"A module taken to fulfil the requirement of an interdisciplinary module. Hones the skills needed to negotiate a world in the post-truth era, derived from the scientific method"
BSP1702,"Interesting module to introduce students to how the Law generally works (at least Business Law), including vicarious liability, personal injury liability, and how these cases are argued. Honestly, pretty interesting and useful in daily life as it provides you the perspective of the law in general - i.e. how they typically benchmark against what a reasonable person would do in the same situation.",BSP,Y1S2,Legal Environment of Business,A,BBA,4,"Equips us with basic legal knowledge relating to commercial transactions so that we will be more aware of potential legal problems which may arise in the course of business and having become aware, to have recourse to such professional legal advice as is necessary in the circumstances (Topics: Singapore Legal System, mediation and arbitration to resolve disputes, the types of various business organisations for businesses to conduct effectively within the law, directors' duties & liabilities, the making of valid business contracts and the rights & obligations of traders in the market place and negligence in the business environment through misstatements)"
NTU Asset Management,,CC,Y1S2,,,NA,0,
MA1521,"Calculus. Multivariate Calculus. Partial differentiation and integration. Not much else to say, was pretty small extension of H2 Maths.",MA,Y1S2,Calculus for Computing,A,BZA,4,"Basic foundation for calculus and its related subjects required by computing students, also covering simple mathematical modeling techniques and numerical methods in connection with ordinary differential equations (Topics: Preliminaries on sets and number systems, Calculus of functions of one variable and applications, Sequences, series and power series, Functions of several variables, Extrema, First and second order differential equations, Basic numerical methods for ordinary differential equations)"
ES2002,,ES,Y1S2,Business Communication for Leaders,A,BBA,4,"Equips us with the business communication skills needed to be recognized as leaders among stakeholders – colleagues, superiors, and customers/clients (Core principles emphasised: audience-centred, objective-driven, and context-sensitive communication; intentional, reflective and mindful communication; oral communication fundamentals of verbal, vocal, visual and aural skills; and the 7 C’s of effective business communication)"
MNO1706A,,MNO,Y1S2,Organisational Behaviour,S,BBA,4,"Introduce students to human behaviour in organisational contexts. (Topics: Examining processes at the individual, group and organisational levels)"
Future Economy Forum,,CC,Y1S2,,,NA,0,
ACC1701,"Introduction module to Accounting, which is just details galore. Prepare to push you head into the numbers and just keep punching those keys in the calculator. Plus, Minus, Plus, Minus until the numbers balance; or the gods smite you.",ACC,Y1S2,Accounting for Decision Makers,A+,Both,4,Introduction to accounting from a user perspective. Financial reporting is covered from the viewpoint of an external investor. Book-keeping and preparation of financial statements are also covered at an introductory level.
UTW1001M,,UTW,Y1S1,Sport and Competition,S,Both,4,"A module taken in RC4 (Residential College 4) that introduced thesis research and writing as well as covered the various arguments and theological perspectives on sport and competition in today’s world - including functionalist theory, conflict theory, interactionist theory, critical theory and feminist theory"
IS1108,,IS,Y1S1,Digital Ethics and Data Privacy,S,BZA,4,"Introduces students to the issues of digital ethics and data privacy faced by individuals and organisations. Addresses challenges in balancing technological desirability with social desirability while developing digital products and services, including Professional Ethics, Computing for Social Good, Digital Ethics by Design, Digital Intellectual Property Rights, Automation and Autonomous Systems, and Artificial Intelligence Ethics and Governance"
BSP1703,"Basic Economics not even beyond the scope of H2 Economics, with in fact, worse Professors teaching the course than my JC teachers - provided clearly wrong answer for one of the quizzes and Professors had huge egos to swing and could never admit their mistakes. Is basically a primary school Mathematics course.",BSP,Y1S1,Managerial Economics,A+,BBA,4,"Provides basic working knowledge of contemporary economic thinking (Topics: market equilibrium, competition, monopoly, price and non-price business strategies)"
MA2001,"Very interesting module on Linear Algebra, teaching the fundamentals, including determinant of a matrix, Gram-Schmidt algorithm, and basically the full set of videos by 3Blue1Brown. Visualisation of Linear Algebra with that channel turns this subject into a godly interesting subject I couldn’t stop thinking about for months.",MA,Y1S1,Linear Algebra I,A,BZA,4,"Introduction to fundamental concepts of linear algebra and investigated in the context of the Euclidean spaces R^n. Proofs of results presented in the concrete setting (Topics: Systems of linear equations, matrices, determinants, Euclidean spaces, linear combinations and linear span, subspaces, linear independence, bases and dimension, rank of a matrix, inner products, eigenvalues and eigenvectors, diagonalisation, linear transformations between Euclidean spaces, applications)"
BT1101,"Basic Introduction to Analytics including linear regression, linear optimisation and visualisation using R.",BT,Y1S1,Introduction to Business Analytics,A,BZA,4,"Provides us with an introduction to the fundamental concepts and tools needed to understand the emerging role of business analytics and data science applications in business and non-profit organisations. Students will learn how to apply basic business analytics and data science/analytics tools (such as R) to large real-life datasets in different contexts, and how to effectively use and interpret analytic models and results for making better and more well-informed business decisions."
Canvas,,,,,,,,
CS2030,"Interesting module on Object-Oriented Programming that was my first introduction to Vim. Have been a Neovim user ever since. Course teaches about monads and abstractions, optionals and curries. Talk about somewhat simple and fun programming just thinking about design!",CS,Y1S1,Programming Methodology II,A,BZA,4,"Explores two modern programming paradigms, object-oriented programming and functional programming. We learnt to develop medium-scale software programs using object oriented design principles and advanced programming constructs available in the two paradigms (Topics: objects and classes, composition, association, inheritance, interface, polymorphism, abstract classes, dynamic binding, lambda expression, effect-free programming, first class functions, closures, continuations, monad)"
STR1000,,STR,Y1S1,Career Creation Starter Workshops,CS,BBA,0,The Starter Workshops are part of the Career Creation suite of training programmes designed to impart year 1 undergraduates with the core skills needed to prepare for their careers. The workshops take students through early and in-depth career planning and train them in the concrete skills necessary for their eventual internship and job search. The Starter Workshops comprise of the following: 1. Career Planning – How to Create Your Future 2. Personal Branding – How the World Knows You 3. Networking – How to Build Your Tribe 4. Resume Crafting – How to Impress on Paper 5. Interviewing – How to Showcase Yourself
BPM1705,,BPM,Y1S1,Understanding How Business Works,CS,BBA,0,"This module introduces new students to the nuts and bolts of the business functions of finance, human resource management, marketing and operations management. It allows students to have insights into how these functional areas work together for a business to function and grow. This module will take students through the journey of a new business from business idea conception to funding and commercialisation."
CS1010,Exempted because I passed the Advanced Placement Credit Test.,CS,Y1S1,Programming Methodology,Exempted,BZA,4,"Introduces the fundamental concepts of problem solving by computing and programming using an imperative programming language (Topics: computational thinking and computational problem solving, designing and specifying an algorithm, basic problem formulation and problem solving approaches, program development, coding, testing and debugging, fundamental programming constructs (variables, types, expressions, assignments, functions, control structures, etc.), fundamental data structures (arrays, strings, composite data types), basic sorting, and recursion)"